DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
01/27/2013	Farmers Insurance Open	1	-14	$1098000.00	69.44%	57.14%	341	307.3	19	70.00%	230	35	0.649	-4	+2	-12	33.00	35.50
02/24/2013	WGC-Accenture Match Play	T33		$46000.00									--	E	E	E		
03/03/2013	The Honda Classic	T37	+ 4	$27600.00	65.28%	58.93%	320	297.0	67	41.67%	1,233	44	0.270	+3	+6	-5	33.75	37.25
03/10/2013	WGC-Cadillac Championship	1	-19	$1500000.00	69.44%	53.57%	327	296.5	51	75.00%	272	25	1.981	-4	-6	-9	32.75	34.50
03/24/2013	Arnold Palmer Invt'l	1	-13	$1116000.00	63.89%	53.57%	350	279.3	120	50.00%	324	103	2.798	+1	E	-14	33.50	35.25
04/14/2013	Masters Tournament	T4	-5	$352000.00	65.28%	55.36%	332	295.5	63	85.71%	276	53	--	-1	E	-4	35.00	35.75
02/12/2012	AT&T Pebble Beach	T15	-8	$102400.00	72.22%	72.73%	321	290.4	51	75.00%	1,255	28	-1.207	-2	+2	-8	34.75	34.75
02/26/2012	WGC-Accenture Match Play	T17		$95000.00									--	E	E	E		
03/04/2012	The Honda Classic	T2	-10	$501600.00	69.44%	71.43%	340	310.0	9	33.33%	140	4	1.339	E	-5	-5	33.25	34.25
03/11/2012	WGC-Cadillac Championship	W/D	-9	--	64.81%	61.90%	355	297.3	1,998	71.43%	1,103	1,998	0.245	+1	-3	-7	34.00	35.00
03/25/2012	Arnold Palmer Invt'l	1	-13	$1080000.00	79.17%	64.29%	328	294.6	40	75.00%	125	14	1.442	+3	-4	-12	33.75	35.00
04/08/2012	Masters Tournament	T40	+ 5	$32000.00	55.56%	57.14%	310	281.6	90	40.00%	246	110	--	+3	+3	-1	36.25	37.00
05/06/2012	Wells Fargo Championship	CUT	E	--	72.22%	50.00%	332	310.5	1,998	50.00%		1,998	-0.507	-1	+3	-2	36.50	35.50
05/13/2012	THE PLAYERS Championship	T40	-1	$37050.00	65.28%	62.50%	357	301.8	39	50.00%	237	39	0.389	-3	+9	-7	37.00	34.75
06/03/2012	the Memorial Tournament	1	-9	$1116000.00	73.61%	76.79%	342	287.3	30	55.56%	215	4	0.037	+2	-3	-8	33.50	36.25
06/17/2012	U.S. Open	T21	+ 7	$86348.00	62.50%	58.93%	312	287.4	36	18.18%	324	14	--	+1	+7	-1	36.25	35.50
07/01/2012	AT&T National	1	-8	$1170000.00	66.67%	53.57%	356	298.6	80	33.33%	349	56	1.459	-1	-3	-4	34.50	34.50
07/08/2012	The Greenbrier Classic	CUT	E	--	66.67%	75.00%	330	295.8	1,998	66.67%		1,998	-0.386	E	E	E	34.00	36.00
07/22/2012	The Open Championship	T3	-3	$464724.75	63.89%	82.14%	276	276.4	76	60.00%	381	61	--	-1	E	-2	33.00	36.25
08/05/2012	WGC-Bridgestone Invit'l	T8	-4	$128750.00	75.00%	57.14%	387	328.0	23	75.00%	326	7	-0.604	E	-1	-3	33.75	35.25
08/12/2012	PGA Championship	T11	-2	$143285.71	55.56%	66.07%	339	303.6	49		343	71	--	+4	-3	-3	35.75	35.75
08/26/2012	The Barclays	T38	+ 1	$32000.00	61.11%	60.71%	346	298.3	70	57.14%	381	86	0.023	+1	+7	-7	35.25	36.00
09/03/2012	Deutsche Bank Champ	3	-18	$544000.00	79.17%	71.43%	335	313.6	18	40.00%	320	5	1.089	E	-12	-6	33.00	33.50
09/09/2012	BMW Championship	T4	-17	$352000.00	70.83%	55.36%	343	285.5	110	0.00%	381	85	0.293	-2	-6	-9	35.25	32.50
09/23/2012	TOUR Championship	T8	-2	$248000.00	63.89%	51.79%	349	298.9	25	55.56%	342	28	-0.258	E	+5	-7	35.00	34.50
01/30/2011	Farmers Insurance Open	T44	-1	$18096.00	66.67%	44.64%	343	296.0	64	54.55%	874	49	0.459	-3	+6	-4	35.00	36.75
02/27/2011	WGC-Accenture Match Play	T33		$45000.00									--	E	E	E		
03/13/2011	WGC-Cadillac Championship	T10	-8	$129000.00	72.22%	46.43%	337	299.9	63	42.86%	1,321	34	-0.486	+2	-3	-7	34.50	35.50
03/15/2011	(*) Tavistock Cup	T2		$80000.00									--	E	E	E		
03/27/2011	Arnold Palmer Invt'l	T24	-1	$48600.00	63.89%	51.79%	336	272.9	134	25.00%	1,377	107	1.037	+1	+5	-7	35.75	36.00
04/10/2011	Masters Tournament	T4	-10	$330667.00	73.61%	66.07%	313	287.8	46	66.67%	596	26	--	E	E	-10	34.50	35.00
05/15/2011	THE PLAYERS Championship	W/D		--									--	E	E	E		
08/07/2011	WGC-Bridgestone Invit'l	T37	+ 1	$58500.00	65.28%	39.29%	358	316.0	85	16.67%	1,356	74	-0.124	-4	+8	-3	35.75	34.50
08/14/2011	PGA Championship	CUT	+10	--	55.56%	42.86%	325	312.0	1,998	36.36%		1,998	--	+3	+6	+1	37.50	37.50
10/09/2011	Frys.com Open	T30	-7	$30375.00	70.83%	48.21%	332	280.6	89	25.00%	1,322	99	0.452	+1	-2	-6	35.00	34.25
