DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
01/20/2013	Humana Challenge	T27	-18	$35728.00	68.06%	59.26%	334	281.9	132	75.00%	388	152	2.703	-4	-5	-9	35.00	32.50
01/27/2013	Farmers Insurance Open	T6	-8	$204350.00	73.61%	39.29%	335	284.8	112	75.00%	344	85	1.805	E	+1	-9	34.75	35.25
02/03/2013	Waste Management Phoenix	T65	-4	$12958.00	68.06%	48.21%	339	285.0	128	66.67%	434	132	-0.494	+2	-4	-2	34.50	35.50
02/10/2013	AT&T Pebble Beach	T12	-10	$131625.00	68.06%	70.91%	339	285.8	61	80.00%	357	67	2.241	-1	+1	-10	34.75	34.25
02/17/2013	Northern Trust Open	CUT	+ 6	--	36.11%	39.29%	316	280.0	1,998	42.86%		1,998	1.331	+1	+6	-1	36.00	38.00
03/17/2013	Tampa Bay Championship	T56	+ 4	$12320.00	50.00%	51.92%	353	282.5	83	37.50%	503	125	0.391	+3	+2	-1	36.25	35.75
03/24/2013	Arnold Palmer Invt'l	CUT	+ 6	--	58.33%	60.71%	327	290.8	1,998	0.00%		1,998	-0.306	+2	+5	-1	37.00	38.00
03/31/2013	Shell Houston Open	T31	-6	$35162.86	65.28%	53.57%	347	292.0	101	69.23%	541	129	1.579	+2	-1	-7	35.25	35.25
04/07/2013	Valero Texas Open	T15	-4	$93000.00	54.17%	42.86%	334	296.5	90	46.15%	537	120	1.540	+4	E	-8	35.50	35.50
01/09/2012	Hyundai T of C	21	-6	$80000.00	73.61%	61.67%	409	276.0	23	100.00%	104	34	0.165	+1	+2	-9	35.75	35.75
01/29/2012	Farmers Insurance Open	T27	-7	$41700.00	59.72%	41.07%	329	295.8	78	85.71%	622	112	2.368	+2	+1	-10	34.75	35.50
02/05/2012	Waste Management Phoenix	T65	+ 1	$12566.00	59.72%	44.64%	358	291.1	137	44.44%	697	142	0.773	+5	+4	-8	35.75	35.50
02/12/2012	AT&T Pebble Beach	4	-12	$307200.00	70.83%	69.09%	318	292.1	61	66.67%	549	39	1.355	+1	-6	-7	33.25	35.25
02/19/2012	Northern Trust Open	T11	-3	$158400.00	55.56%	55.36%	341	283.3	88	60.00%	537	81	1.347	+1	+2	-6	34.00	36.25
02/26/2012	WGC-Accenture Match Play	T33		$45000.00									--	E	E	E		
03/11/2012	WGC-Cadillac Championship	12	-10	$120000.00	68.06%	55.36%	346	295.4	47	77.78%	492	25	0.043	+1	-3	-8	34.00	35.50
04/01/2012	Shell Houston Open	CUT	+ 2	--	69.44%	53.57%	309	289.3	1,998	100.00%		1,998	-0.885	E	+1	+1	37.50	35.50
04/08/2012	Masters Tournament	T40	+ 5	$32000.00	55.56%	53.57%	305	283.1	82	50.00%	512	104	--	+2	+11	-8	37.50	35.75
04/15/2012	RBC Heritage	CUT	+ 7	--	50.00%	60.71%	318	296.3	1,998	0.00%		1,998	0.485	+1	+7	-1	37.50	37.00
05/06/2012	Wells Fargo Championship	T65	+ 1	$13455.00	56.94%	33.93%	342	287.4	127	40.00%	628	147	1.247	+2	+2	-3	36.25	36.00
05/13/2012	THE PLAYERS Championship	CUT	+11	--	41.67%	42.86%	345	283.3	1,998	33.33%		1,998	-0.191	+3	+10	-2	39.00	38.50
05/27/2012	Crowne Plaza Invitational	T63	+ 7	$13568.00	48.61%	53.57%	360	306.6	54	50.00%	666	91	-0.260	+3	+10	-6	36.25	35.50
06/03/2012	the Memorial Tournament	T9	-2	$167400.00	56.94%	53.57%	336	284.5	93	90.00%	644	107	2.403	+1	+3	-6	34.25	37.25
06/17/2012	U.S. Open	CUT	+14	--	44.44%	21.43%	312	294.0	1,998	50.00%		1,998	--	+1	+13	E	39.00	38.00
06/24/2012	Travelers Championship	T37	-5	$24000.00	56.94%	73.21%	333	301.6	39	55.56%	659	76	0.812	+3	-7	-1	34.75	34.00
07/22/2012	The Open Championship	T69	+10	$17964.15	58.33%	64.29%	309	277.4	104	37.50%	770	113	--	+1	+6	+3	35.50	37.00
08/05/2012	WGC-Bridgestone Invit'l	T8	-4	$128750.00	59.72%	39.29%	379	323.9	80	60.00%	698	82	1.358	+1	-2	-3	35.50	33.50
08/12/2012	PGA Championship	T42	+ 4	$25750.00	50.00%	69.64%	337	292.9	44		702	79	--	+2	+8	-6	35.50	37.50
08/26/2012	The Barclays	CUT	+ 8	--	44.44%	57.14%	342	290.0	1,998	50.00%	1,720	1,998	-2.809	+4	+5	-1	38.50	36.50
09/03/2012	Deutsche Bank Champ	T42	-2	$28000.00	65.28%	64.29%	349	295.4	76	42.86%	748	79	-0.249	-2	E	E	35.00	35.50
10/14/2012	Frys.com Open	CUT	+ 1	--	50.00%	53.57%	313	286.5	1,998	57.14%		1,998	-0.323	+3	-1	-1	35.50	36.00
01/16/2011	Sony Open in Hawaii	T34	-5	$26606.25	72.22%	50.00%	334	289.9	71	57.14%	408	56	-0.533	E	+1	-6	34.25	34.50
01/30/2011	Farmers Insurance Open	CUT	+ 2	--	75.00%	46.43%	334	288.8	1,998	0.00%		1,998	-2.588	+4	-1	-1	35.50	37.50
02/06/2011	Waste Management Phoenix	T37	-9	$28060.00	76.39%	55.36%	343	293.0	111	20.00%	775	75	-0.144	-1	-5	-3	33.50	35.25
02/13/2011	AT&T Pebble Beach	T6	-9	$211050.00	72.22%	60.00%	331	293.8	87	71.43%	612	62	0.456	-3	+1	-7	34.00	35.25
02/20/2011	Northern Trust Open	1	-12	$1170000.00	72.22%	50.00%	321	276.5	99	100.00%	592	59	1.000	-1	-9	-2	32.50	35.50
02/27/2011	Mayakoba Golf Classic	CUT	+ 3	--									--	-2	+9	-4	35.50	37.00
03/13/2011	WGC-Cadillac Championship	T28	-3	$73000.00	59.72%	55.36%	342	306.1	30	45.45%	533	35	0.060	+4	+1	-8	36.75	34.50
03/27/2011	Arnold Palmer Invt'l	T12	-2	$94800.00	66.67%	62.50%	343	291.6	68	41.67%	546	58	0.778	+3	+3	-8	35.50	36.00
04/03/2011	Shell Houston Open	T4	-13	$259600.00	68.06%	53.57%	347	316.8	72	72.22%	471	92	1.231	-2	-2	-9	33.75	35.00
04/10/2011	Masters Tournament	T47	+ 5	$24000.00	59.72%	57.14%	302	286.9	66	25.00%	546	83	--	+2	+7	-4	35.25	38.00
04/24/2011	The Heritage	T14	-6	$91200.00	61.11%	66.07%	325	270.0	112	71.43%	515	97	1.468	+2	-1	-7	35.00	34.50
05/15/2011	THE PLAYERS Championship	T6	-9	$287375.00	63.89%	57.14%	319	281.4	99	83.33%	452	107	0.896	+4	-5	-8	35.50	34.25
06/05/2011	the Memorial Tournament	T45	E	$17732.00	55.56%	55.36%	356	307.4	81	53.33%	454	114	0.550	-1	+6	-5	36.25	35.75
06/19/2011	U.S. Open	CUT	+ 6	--	52.78%	53.57%	324	304.0	1,998	50.00%		1,998	--	+1	+3	+2	38.50	35.50
06/26/2011	Travelers Championship	T24	-11	$46425.00	76.39%	71.43%	321	294.0	66	66.67%	415	44	1.142	+1	-9	-3	33.50	33.75
07/17/2011	British Open Championship	CUT	+10	--	41.67%	53.57%	332	299.0	1,998	0.00%		1,998	--	+4	+5	+1	36.00	39.00
08/07/2011	WGC-Bridgestone Invit'l	T11	-8	$117333.34	63.89%	50.00%	362	308.0	80	80.00%	450	75	0.615	+1	-4	-5	33.00	35.00
08/14/2011	PGA Championship	CUT	+ 5	--	52.78%	42.86%	334	305.0	1,998	20.00%		1,998	--	+2	+2	+1	36.00	36.50
08/28/2011	The Barclays	T13	-12	$145600.00	87.04%	61.90%	354	302.8	42	0.00%	424	13	-0.908	-2	-3	-7	33.67	33.33
09/05/2011	Deutsche Bank Champ	T77	+ 7	$14800.00	55.56%	50.00%	341	308.4	89	60.00%	465	124	-1.323	+7	+4	-4	35.75	37.00
