DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
01/13/2013	Sony Open in Hawaii	CUT	+10	--	38.89%	57.14%	327	284.8	1,998	33.33%	1,791	1,998	-1.572	+2	+6	+2	37.50	37.50
01/20/2013	Humana Challenge	CUT	-8	--	81.48%	63.41%	311	291.3	1,998	25.00%		1,998	-1.707	-3	-2	-3	34.67	34.67
02/03/2013	Waste Management Phoenix	W/D	+ 1	--	44.44%	50.00%	346	294.5	1,998	33.33%	1,960	1,998	0.878	+2	E	-1	36.00	36.00
01/15/2012	Sony Open in Hawaii	CUT	+ 5	--	61.11%	46.43%	340	322.8	1,998	16.67%	1,745	1,998	-0.208	+2	+4	-1	36.00	36.50
02/05/2012	Waste Management Phoenix	CUT	+ 1	--	55.56%	46.43%	348	307.8	1,998	33.33%		1,998	-0.632	+2	+2	-3	35.50	36.00
02/12/2012	AT&T Pebble Beach	T20	-7	$71936.00	72.22%	69.09%	325	288.5	68	80.00%	843	46	0.875	-2	E	-5	34.50	35.25
03/04/2012	The Honda Classic	T21	-1	$59280.00	65.28%	64.29%	337	289.1	48	75.00%	587	38	-0.775	E	+2	-3	35.50	34.25
03/25/2012	Arnold Palmer Invt'l	W/D	E	--	66.67%	54.76%	332	280.0	1,998	75.00%		1,998	-0.370	E	E	E	36.33	35.67
05/13/2012	THE PLAYERS Championship	CUT	+ 2	--	52.78%	53.57%	312	279.5	1,998	75.00%		1,998	-0.676	E	+5	-3	35.00	38.00
05/27/2012	Crowne Plaza Invitational	CUT	+ 6	--	47.22%	53.57%	359	302.0	1,998	75.00%		1,998	-0.214	+1	+8	-3	37.00	36.00
06/03/2012	the Memorial Tournament	T16	+ 1	$99200.00	52.78%	71.43%	343	289.4	40	40.00%	1,279	76	0.746	+7	-2	-4	36.00	36.25
06/10/2012	FedEx St. Jude Classic	T3	-7	$268800.00	63.89%	48.21%	336	299.0	76	60.00%	594	61	-0.010	+1	-2	-6	34.50	33.75
06/17/2012	U.S. Open	T29	+ 9	$53168.00	50.00%	46.43%	333	296.6	47	33.33%	607	70	--	+6	+4	-1	36.75	35.50
07/01/2012	AT&T National	T74	+ 9	$12350.00	55.56%	45.24%	353	292.2	1,998	50.00%	1,625	1,998	-0.288	-3	+13	-1	37.67	36.33
07/08/2012	The Greenbrier Classic	T17	-9	$85400.00	69.44%	64.29%	387	315.5	57	33.33%	562	65	0.466	-2	-2	-5	33.25	34.50
07/22/2012	The Open Championship	CUT	+10	--	63.89%	71.43%	318	292.5	1,998	14.29%		1,998	--	+3	+9	-2	39.00	36.00
08/12/2012	PGA Championship	CUT	+ 7	--	50.00%	67.86%	314	293.3	1,998			1,998	--	+3	+5	-1	39.50	36.00
08/19/2012	Wyndham Championship	T10	-12	$124800.00	80.56%	60.71%	342	304.9	67	100.00%	593	33	0.176	-2	-7	-3	33.25	33.75
08/26/2012	The Barclays	CUT	+ 6	--	61.11%	57.14%	327	292.8	1,998	33.33%	1,618	1,998	-1.909	E	+5	+1	36.00	38.00
10/07/2012	JT Shriners	T66	E	$9315.00	75.00%	48.21%	330	311.9	90	37.50%	698	84	-0.505	E	-2	+2	36.00	35.00
10/14/2012	Frys.com Open	T35	-7	$24125.00	72.22%	64.29%	329	299.6	30	33.33%	687	30	-0.032	-2	E	-5	34.75	34.50
10/21/2012	The McGladrey Classic	T4	-12	$165333.33	86.11%	71.43%	311	286.9	60	100.00%	609	25	0.613	-1	-5	-6	34.25	32.75
11/11/2012	Children's Miracle	T40	-6	$16045.80	65.28%	64.29%	339	285.4	58	66.67%	582	65	0.312	-3	+4	-7	34.75	35.75
01/16/2011	Sony Open in Hawaii	T9	-10	$143000.00	69.44%	53.57%	331	293.0	51	50.00%	435	44	0.312	E	-4	-6	34.75	32.75
01/30/2011	Farmers Insurance Open	CUT	+ 5	--	63.89%	28.57%	309	292.8	1,998	60.00%		1,998	-0.028	E	+4	+1	37.00	37.50
02/06/2011	Waste Management Phoenix	T57	-4	$13542.00	68.06%	51.79%	344	299.9	95	36.36%	846	97	-0.891	+2	-1	-5	35.00	35.00
02/13/2011	AT&T Pebble Beach	T55	E	$14238.00	69.44%	69.09%	354	300.8	44	62.50%	835	31	-1.153	+2	E	-2	35.25	36.25
03/06/2011	The Honda Classic	T29	+ 4	$35462.14	66.67%	58.93%	356	290.3	54	14.29%	840	24	0.259	+3	+2	-1	35.00	36.00
04/03/2011	Shell Houston Open	CUT	+ 7	--	66.67%	53.57%	327	286.5	1,998	0.00%	1,919	1,998	-0.896	+4	-1	+4	39.00	36.50
