DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
01/20/2013	Humana Challenge	CUT	-6	--	70.37%	46.34%	292	274.7	1,998	50.00%		1,998	1.587	-2	+1	-5	35.33	34.67
01/27/2013	Farmers Insurance Open	CUT	+ 1	--	66.67%	60.71%	305	287.5	1,998	50.00%		1,998	-0.981	E	+3	-2	35.50	37.00
02/03/2013	Waste Management Phoenix	T11	-16	$136400.00	79.17%	71.43%	343	290.6	46	20.00%	598	18	0.421	+1	-9	-8	34.00	33.00
02/17/2013	Northern Trust Open	CUT	+ 9	--	47.22%	42.86%	309	280.5	1,998	50.00%		1,998	-1.615	+3	+7	-1	36.50	39.00
03/03/2013	The Honda Classic	T64	+10	$12540.00	56.94%	57.14%	296	279.4	115	61.54%	804	122	0.100	E	+15	-5	35.50	37.00
03/17/2013	Tampa Bay Championship	CUT	+ 5	--	58.33%	73.08%	312	254.0	1,998	71.43%		1,998	0.039	+3	+3	-1	37.50	36.00
03/24/2013	Arnold Palmer Invt'l	T65	+ 6	$12834.00	54.17%	53.57%	304	270.5	140	50.00%	924	145	0.659	-1	+11	-4	36.50	37.00
03/31/2013	Shell Houston Open	T4	-14	$272800.00	80.56%	67.86%	326	290.5	61	71.43%	707	30	0.381	-3	-5	-6	33.75	34.75
01/09/2012	Hyundai T of C	T9	-13	$165000.00	79.17%	65.00%	388	273.0	23	25.00%	76	27	0.564	-3	-3	-7	34.50	35.25
01/22/2012	Humana Challenge	T8	-19	$156800.00	72.22%	55.56%	313	288.6	114	75.00%	296	97	1.662	-4	-1	-14	34.00	33.25
01/29/2012	Farmers Insurance Open	CUT	-1	--	66.67%	67.86%	306	279.5	1,998	60.00%		1,998	2.353	+2	+1	-4	34.50	37.00
02/05/2012	Waste Management Phoenix	2	-14	$658800.00	65.28%	60.71%	346	298.9	70	60.00%	190	77	2.027	+2	-4	-12	33.25	34.25
02/26/2012	WGC-Accenture Match Play	T33		$45000.00									--	E	E	E		
03/04/2012	The Honda Classic	T30	+ 1	$34627.50	59.72%	66.07%	330	272.5	86	50.00%	205	93	0.117	-1	+8	-6	35.00	35.25
03/11/2012	WGC-Cadillac Championship	T51	E	$46875.00	56.94%	57.14%	326	281.5	70	41.67%	296	84	-0.694	+2	+2	-4	36.25	35.75
03/25/2012	Arnold Palmer Invt'l	CUT	+ 4	--	52.78%	60.71%	322	283.5	1,998	60.00%		1,998	0.104	+2	+1	+1	39.50	34.50
04/01/2012	Shell Houston Open	T29	-6	$37328.57	72.22%	64.29%	312	286.3	78	60.00%	297	90	0.833	-2	+2	-6	35.25	35.25
