DATE	TOURNAMENT NAME	FINISH POS	TO PAR SCORE	OFFICIAL MONEY	GIR	DRVG ACC	LONG DRV	DRV DIST	TOT DRV	SAND SV%	ALL- ARND RANK	BALL STKG	STROKES GAINED PUTTING	PAR 3	PAR 4	PAR 5	FRNT 9 AVG	BACK 9 AVG
01/20/2013	Humana Challenge	T65	-13	$11424.00	75.00%	64.81%	305	285.6	99	50.00%	663	95	1.570	-3	-3	-7	35.00	33.75
01/27/2013	Farmers Insurance Open	CUT	E	--	72.22%	53.57%	315	282.8	1,998	80.00%		1,998	-2.175	-1	+3	-2	37.00	35.00
02/10/2013	AT&T Pebble Beach	T62	E	$13715.00	65.28%	78.18%	318	278.8	52	50.00%	743	73	-0.163	+2	+1	-3	35.50	36.00
02/17/2013	Northern Trust Open	T68	+ 6	$13332.00	54.17%	46.43%	333	280.3	117	50.00%	864	127	0.170	E	+10	-4	36.00	36.50
03/03/2013	The Honda Classic	CUT	+ 3	--	61.11%	57.14%	292	282.0	1,998	50.00%		1,998	-0.328	E	+5	-2	38.00	33.50
03/17/2013	Tampa Bay Championship	T61	+ 5	$11935.00	70.83%	61.54%	319	276.0	69	62.50%	820	35	0.291	-1	+5	+1	37.75	34.50
03/24/2013	Arnold Palmer Invt'l	CUT	+ 5	--	52.78%	42.86%	325	278.0	1,998	75.00%		1,998	0.029	E	+5	E	38.50	36.00
03/31/2013	Shell Houston Open	CUT	E	--	66.67%	50.00%	316	281.3	1,998	100.00%		1,998	0.425	+2	+1	-3	37.50	34.50
04/07/2013	Valero Texas Open	T46	+ 1	$16580.58	56.94%	46.43%	346	282.8	114	66.67%	941	128	-0.281	-2	+5	-2	35.50	36.75
01/22/2012	Humana Challenge	CUT	-5	--	70.37%	68.29%	315	291.2	1,998	37.50%		1,998	0.762	+2	+1	-8	35.33	35.00
01/29/2012	Farmers Insurance Open	CUT	+ 5	--	69.44%	42.86%	322	280.5	1,998	50.00%		1,998	-5.125	-1	+6	E	38.00	36.50
02/12/2012	AT&T Pebble Beach	T67	+ 3	$13120.00	56.94%	74.55%	321	277.8	63	62.50%	874	92	-1.127	+1	+4	-2	35.50	36.75
02/19/2012	Northern Trust Open	CUT	+ 6	--	61.11%	39.29%	337	269.8	1,998	0.00%		1,998	-0.923	E	+8	-2	37.00	37.00
03/04/2012	The Honda Classic	T21	-1	$59280.00	63.89%	57.14%	298	275.8	109	62.50%	906	98	0.229	+1	-1	-1	35.00	34.75
03/18/2012	Transitions Championship	CUT	+ 2	--	58.33%	57.69%	297	243.3	1,998	42.86%		1,998	0.006	-1	+2	+1	36.00	36.00
04/01/2012	Shell Houston Open	CUT	+ 1	--	66.67%	57.14%	301	277.3	1,998	66.67%		1,998	0.359	E	+4	-3	36.50	36.00
04/15/2012	RBC Heritage	T56	+ 5	$12825.00	50.00%	64.29%	302	269.3	103	50.00%	937	129	0.486	+1	+10	-6	36.25	36.00
04/22/2012	Valero Texas Open	CUT	+ 8	--	50.00%	57.14%	352	279.5	1,998	0.00%		1,998	-0.272	+5	+5	-2	38.00	38.00
04/29/2012	Zurich Classic of New Orl	T45	-7	$17938.28	70.83%	62.50%	323	286.4	83	66.67%	925	82	0.709	-1	-2	-4	35.75	34.50
05/06/2012	Wells Fargo Championship	CUT	+ 1	--	75.00%	42.86%	334	290.0	1,998	100.00%		1,998	0.396	+1	+6	-6	36.00	36.50
06/03/2012	the Memorial Tournament	CUT	+ 6	--	44.44%	64.29%	338	281.0	1,998	25.00%		1,998	-0.624	+4	+4	-2	35.50	39.50
06/10/2012	FedEx St. Jude Classic	T49	+ 3	$13294.40	61.11%	66.07%	327	290.6	60	40.00%	969	56	0.181	+2	+4	-3	35.50	35.25
06/24/2012	Travelers Championship	T18	-8	$75600.00	65.28%	71.43%	322	292.1	60	40.00%	896	78	0.368	+2	-8	-2	33.75	34.25
07/08/2012	The Greenbrier Classic	CUT	+ 3	--	63.89%	78.57%	329	295.0	1,998	100.00%		1,998	-1.374	+2	+1	E	34.50	37.00
07/15/2012	John Deere Classic	T25	-11	$35880.00	69.44%	83.93%	337	298.0	32	85.71%	783	65	1.647	+3	-7	-7	33.50	34.75
07/22/2012	True South Classic	T31	-11	$16650.00	73.61%	76.79%	297	280.0	36	87.50%	656	29	-0.542	-1	+2	-12	34.50	34.75
07/29/2012	RBC Canadian Open	T28	-7	$34580.00	79.17%	69.64%	323	289.0	61	66.67%	685	30	0.499	+2	-5	-4	33.50	34.75
08/05/2012	Reno-Tahoe Open	T16	-7	$49500.00									--	E	E	E		
08/19/2012	Wyndham Championship	T70	+ 3	$10296.00	54.17%	62.50%	339	298.0	86	40.00%	684	124	0.380	+3	+2	-2	34.25	36.50
10/07/2012	JT Shriners	CUT	+ 1	--	69.44%	71.43%	319	295.5	1,998			1,998	0.430	E	+2	-1	37.50	34.00
10/14/2012	Frys.com Open	CUT	+ 3	--	58.33%	60.71%	319	262.5	1,998	40.00%		1,998	-0.680	+2	+1	E	35.00	37.50
10/21/2012	The McGladrey Classic	T27	-7	$22550.00	80.56%	69.64%	315	283.4	76	100.00%	724	61	1.278	-3	E	-4	34.50	33.75
11/11/2012	Children's Miracle	T40	-6	$16045.80	63.89%	66.07%	320	282.4	69	50.00%	719	87	1.032	E	+5	-11	35.75	34.75
01/09/2011	Hyundai T of C	30	-3	$57000.00	73.61%	65.00%	382	275.5	47	33.33%	171	60	-0.069	+2	-3	-2	35.00	37.25
01/16/2011	Sony Open in Hawaii	T13	-9	$94285.71	70.83%	62.50%	314	297.4	20	80.00%	397	22	-1.397	-1	-1	-7	34.50	33.25
01/30/2011	Farmers Insurance Open	T51	E	$13787.43	65.28%	41.07%	343	284.5	107	42.86%	742	101	1.391	+4	E	-4	34.75	37.25
02/06/2011	Waste Management Phoenix	CUT	E	--	61.11%	35.71%	329	298.0	1,998	66.67%		1,998	-0.396	E	-1	+1	35.00	36.00
02/13/2011	AT&T Pebble Beach	T15	-6	$97650.00	66.67%	63.64%	339	294.8	80	25.00%	772	75	1.742	+1	-4	-3	34.50	35.50
02/20/2011	Northern Trust Open	T12	-5	$112666.66	65.28%	50.00%	318	277.0	96	57.14%	690	69	0.714	E	+1	-6	33.75	36.00
03/06/2011	The Honda Classic	T10	-1	$136800.00	66.67%	55.36%	359	295.5	54	42.86%	624	24	1.767	E	-1	E	35.00	34.75
03/15/2011	(*) Tavistock Cup	T3		$60000.00									--	E	E	E		
03/20/2011	Transitions Championship	T57	-1	$12210.00	58.33%	50.00%	314	275.5	113	87.50%	657	136	1.446	+2	+1	-4	36.25	34.50
03/27/2011	Arnold Palmer Invt'l	CUT	+ 5	--	50.00%	67.86%	316	273.0	1,998	50.00%		1,998	-0.820	E	+6	-1	38.00	36.50
04/03/2011	Shell Houston Open	CUT	+ 4	--	69.44%	53.57%	331	290.0	1,998	100.00%		1,998	0.267	+3	+2	-1	38.50	35.50
04/10/2011	Masters Tournament	CUT	+ 3	--	52.78%	67.86%	269	260.8	1,998	80.00%		1,998	--	+2	+4	-3	37.50	36.00
04/24/2011	The Heritage	CUT	+ 5	--	66.67%	50.00%	318	289.0	1,998	25.00%		1,998	-1.638	+3	+3	-1	37.00	36.50
05/08/2011	Wells Fargo Championship	CUT	+ 1	--	55.56%	39.29%	316	295.0	1,998	20.00%		1,998	-0.256	+1	+4	-4	35.00	37.50
05/15/2011	THE PLAYERS Championship	CUT	+ 5	--	47.22%	57.14%	308	282.5	1,998	25.00%		1,998	-0.353	-1	+5	+1	38.50	36.00
05/22/2011	Crowne Plaza Invitational	T16	-4	$67786.66	63.89%	51.79%	325	287.5	103	80.00%	750	99	0.452	+1	E	-5	33.75	35.25
06/05/2011	the Memorial Tournament	CUT	+ 6	--	55.56%	71.43%	308	301.3	1,998	60.00%		1,998	-0.023	+4	+8	-6	36.50	38.50
06/12/2011	FedEx St. Jude Classic	W/D	+ 8	--	38.89%	50.00%	314	283.5	1,998	0.00%		1,998	-3.270	+1	+8	-1	41.00	37.00
06/26/2011	Travelers Championship	CUT	+ 3	--	52.78%	78.57%	361	277.5	1,998	100.00%		1,998	-1.335	+1	+1	+1	36.00	35.50
07/03/2011	AT&T National	DQ	+ 2	--	61.11%	57.14%	310	302.5	1,998	66.67%		1,998	0.247	+2	+1	-1	36.00	36.00
07/24/2011	RBC Canadian Open	CUT	+ 7	--	44.44%	75.00%	298	279.0	1,998	50.00%		1,998	0.371	+2	+9	-4	38.00	35.50
07/31/2011	The Greenbrier Classic	CUT	+ 3	--	61.11%	60.71%	327	305.5	1,998	100.00%		1,998	-2.112	E	+5	-2	35.50	36.00
08/07/2011	WGC-Bridgestone Invit'l	76	+19	$36000.00	56.94%	66.07%	333	288.0	68	30.00%	968	92	-1.521	+5	+16	-2	37.25	37.50
08/21/2011	Wyndham Championship	T30	-8	$28964.00	66.67%	66.07%	333	303.8	62	33.33%	905	90	-0.878	-3	+2	-7	34.00	34.00
08/28/2011	The Barclays	W/D	+10	--	55.56%	71.43%	328	280.5	1,998	0.00%	1,889	1,998	-3.382	+5	+3	+2	38.00	43.00
01/17/2010	Sony Open in Hawaii	CUT	+ 5	--	63.89%	35.71%	324	317.0	1,998	50.00%	1,630	1,998	-2.494	+3	+5	-3	36.50	36.00
01/31/2010	Farmers Insurance Open	CUT	E	--	69.44%	60.71%	304	264.8	1,998	40.00%		1,998	-1.719	E	+3	-3	37.00	35.00
02/07/2010	Northern Trust Open	T61	+ 2	$13568.00	52.78%	58.93%	317	269.4	72	100.00%	890	99	-0.456	-2	+8	-4	35.50	36.00
02/14/2010	AT&T Pebble Beach	CUT	+ 9	--	61.11%	63.41%	323	274.5	1,998	0.00%		1,998	-4.109	+2	+8	-1	37.67	36.67
02/21/2010	Mayakoba Golf Classic	CUT	+ 5	--									--	E	+3	+2	37.50	36.00
02/28/2010	Waste Management Phoenix	CUT	-2	--	61.11%	60.71%	316	295.8	1,998	80.00%		1,998	-0.151	+2	-1	-3	33.50	36.50
03/07/2010	The Honda Classic	T67	+ 8	$11368.00	55.56%	57.14%	322	285.3	65	57.14%	1,052	95	0.075	+1	+12	-5	35.50	36.50
03/21/2010	Transitions Championship	CUT	+ 4	--	63.89%	46.15%	342	257.0	1,998	66.67%		1,998	-0.026	+3	+1	E	36.00	37.00
03/23/2010	(*) Tavistock Cup	T2		$50000.00									--	E	E	E		
03/28/2010	Arnold Palmer Invt'l	T30	+ 2	$33420.00	61.11%	64.29%	342	284.0	71	60.00%	1,072	73	-1.078	+2	+4	-4	37.00	35.50
04/04/2010	Shell Houston Open	T44	E	$17535.33	63.89%	51.79%	325	292.1	90	70.00%	1,034	125	0.242	+1	+5	-6	35.25	36.75
04/18/2010	Verizon Heritage	T8	-8	$159600.00	63.89%	64.29%	312	284.4	62	50.00%	907	31	1.226	+1	-2	-7	34.50	34.50
04/25/2010	Zurich Classic of New Orl	6	-11	$230400.00	70.83%	62.50%	331	292.5	59	0.00%	919	45	-0.468	+2	-7	-6	34.00	35.25
05/02/2010	Wells Fargo Championship	T69	+ 6	$12870.00	68.06%	50.00%	345	303.6	60	50.00%	931	66	-0.442	+3	+6	-3	35.25	38.25
05/23/2010	HP Byron Nelson Champ	CUT	+ 2	--	63.89%	35.71%	349	287.8	1,998	33.33%		1,998	0.868	E	+3	-1	35.50	35.50
05/30/2010	Crowne Plaza Invitational	CUT	E	--	69.44%	32.14%	331	305.8	1,998	100.00%		1,998	-0.598	E	E	E	35.00	35.00
06/06/2010	the Memorial Tournament	CUT	+ 3	--	58.33%	71.43%	320	278.5	1,998	40.00%		1,998	-1.499	+1	+2	E	37.00	36.50
06/13/2010	St. Jude Classic	CUT	+ 2	--	50.00%	50.00%	313	266.0	1,998	0.00%		1,998	0.845	+2	-1	+1	37.00	34.00
06/20/2010	U.S. Open Championship	T29	+11	$54871.00	48.61%	64.29%	338	295.3	66	70.59%	991	90	--	+7	+6	-2	35.50	38.25
06/27/2010	Travelers Championship	T27	-8	$40800.00	63.89%	62.50%	352	287.6	110	66.67%	937	132	1.065	-2	-5	-1	32.75	35.25
07/04/2010	AT&T National	T11	-2	$131440.00	66.67%	69.64%	335	302.4	26	33.33%	895	44	-0.547	+2	-2	-2	35.00	34.50
07/11/2010	John Deere Classic	CUT	-3	--	69.44%	82.14%	330	292.5	1,998	66.67%		1,998	-0.338	-2	+1	-2	34.00	35.50
07/18/2010	Reno-Tahoe Open	T18	-5	$42000.00	58.33%	71.43%	369	322.5	76	50.00%	848	97	1.681	+3	-1	-7	35.50	35.25
07/25/2010	RBC Canadian Open	T37	-5	$19890.00	65.28%	51.92%	335	291.9	99	33.33%	830	117	0.827	+2	+3	-10	33.75	35.00
08/01/2010	The Greenbrier Classic	1	-22	$1080000.00	79.17%	73.21%	328	307.3	60	50.00%	726	57	2.023	-1	-15	-6	30.75	33.75
08/08/2010	WGC-Bridgestone Invit'l	T63	+ 7	$42250.00	55.56%	57.14%	336	293.9	80	42.86%	804	110	0.245	E	+8	-1	36.75	35.00
08/15/2010	PGA Championship	T68	+ 7	$14150.00	55.56%	62.50%	295	274.4	112	0.00%	819	138	--	+2	+11	-6	37.25	36.50
08/29/2010	The Barclays	T52	E	$17587.50	69.44%	53.57%	307	271.6	110	40.00%	838	89	-0.514	-1	+3	-2	34.25	36.75
09/06/2010	Deutsche Bank Champ	T57	-1	$16725.00	56.94%	78.57%	321	284.0	48	25.00%	841	78	-0.660	-1	+5	-5	35.25	35.50
09/12/2010	BMW Championship	T60	+12	$16350.00	38.89%	46.43%	322	289.0	109	57.89%	878	138	0.058	+2	+10	E	37.00	37.00
10/17/2010	Frys.com Open	T58	+ 2	$11000.00	65.28%	58.93%	330	282.8	93	37.50%	881	119	-0.125	+1	+3	-2	36.50	35.00
10/24/2010	Justin Timberlake	CUT	E	--	80.56%	67.86%	327	301.0	1,998	100.00%		1,998	-2.453	E	E	E	35.50	35.50
02/01/2009	FBR Open	CUT	+ 4	--	47.22%	42.86%	350	305.3	1,998	0.00%		1,998	-1.404	+1	+6	-3	35.50	37.50
02/08/2009	Buick Invitational	T57	+ 5	$11713.00	65.28%	42.86%	305	274.4	108	28.57%	1,094	102	-1.472	+3	+5	-3	35.50	37.75
02/22/2009	Northern Trust Open	T64	E	$13104.00	58.33%	50.00%	309	285.5	101	60.00%	1,117	122	-1.139	-1	+5	-4	35.50	35.50
03/01/2009	WGC-Accenture Match Play	T33		$45000.00									--	E	E	E		
03/08/2009	The Honda Classic	CUT	+ 4	--	61.11%	71.43%	309	284.5	1,998	40.00%		1,998	-1.783	+2	+4	-2	35.00	37.00
03/15/2009	WGC-CA Championship	T61	+ 1	$39550.00	61.11%	50.00%	325	285.5	97	41.67%	1,245	103	-1.592	+2	+4	-5	35.25	37.00
03/17/2009	(*) Tavistock Cup			$50000.00									--	E	E	E		
03/22/2009	Transitions Championship	T8	-4	$151200.00	61.11%	65.38%	322	274.4	81	50.00%	1,075	86	0.315	-2	+4	-6	35.00	35.00
03/29/2009	Arnold Palmer Invt'l	T52	+ 9	$13851.43	56.94%	64.29%	318	287.6	58	50.00%	1,041	64	0.524	+2	+8	-1	35.00	37.25
04/05/2009	Shell Houston Open	T31	-3	$29691.82	77.78%	66.07%	326	293.9	57	33.33%	1,002	25	-0.668	-1	-1	-1	36.50	34.75
04/12/2009	Masters Tournament	T30	-1	$46575.00	56.94%	55.36%	294	278.5	76	50.00%	944	93	--	+4	+6	-11	35.75	36.00
05/03/2009	Quail Hollow Championship	CUT	+ 8	--	55.56%	39.29%	320	301.0	1,998	75.00%		1,998	-1.623	+4	+5	-1	38.50	37.50
05/10/2009	THE PLAYERS Championship	CUT	+ 3	--	61.11%	67.86%	330	287.8	1,998	66.67%		1,998	-0.095	+3	+2	-2	36.50	37.00
05/24/2009	HP Byron Nelson Champ	CUT	+ 7	--	58.33%	46.43%	351	308.5	1,998	50.00%		1,998	-1.818	+1	+7	-1	37.00	36.50
06/07/2009	the Memorial Tournament	T72	+12	$11820.00	51.39%	64.29%	339	286.9	104	46.67%	1,072	139	-1.117	+6	+11	-5	37.25	37.75
06/21/2009	U.S. Open Championship	CUT	+ 9	--	52.78%	78.57%	283	273.8	1,998	60.00%		1,998	--	+3	+4	+2	36.50	38.00
06/28/2009	Travelers Championship	CUT	+ 3	--	61.11%	75.00%	305	248.5	1,998	33.33%		1,998	-2.187	+1	+3	-1	36.00	35.50
